ID,Status,Title,Label,Security-Label,Url,PatchUrl
72122,closed,logging level FATAL missing in _nameToLevel,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72122, 
72121,closed,json float encoding incorrect for dbus.Double,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72121, 
72120,closed,functools.lru_cache seems to not work when renaming decorated functions,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72120, 
72118,closed,Email parse IndexError <""@wiarcom.com>,"type-bug,3.7,expert-email", ,https://api.github.com/repos/python/cpython/issues/72118, 
72116,closed,asyncio.AbstractEventLoop.sock_connect broken for AF_BLUETOOTH,"type-bug,expert-asyncio,3.11,3.10,3.9", ,https://api.github.com/repos/python/cpython/issues/72116, 
72108,closed,f-strings: do not allow backslashes,"type-bug,interpreter-core,release-blocker", ,https://api.github.com/repos/python/cpython/issues/72108, 
72107,closed,Embedding python in a shared library fails to import the Python module,"type-bug,build", ,https://api.github.com/repos/python/cpython/issues/72107, 
72106,closed,Deprecate and remove extra_path distribution kwarg,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72106, 
72105,closed,Running test suites without gui but still having windows flash,"type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/72105, 
72100,closed,Difflib.ndiff (Problem on identification of changes as Diff Style),"type-bug,stdlib",hang,https://api.github.com/repos/python/cpython/issues/72100, 
72097,closed,Doc/library/traceback.rst — references to tuples should be replaced with new FrameSummary object,"type-bug,docs,3.8,3.7", ,https://api.github.com/repos/python/cpython/issues/72097, 
72091,closed,Let logging format more messages on demand,type-bug, ,https://api.github.com/repos/python/cpython/issues/72091, 
72086,closed,Apostrophe is not replace with &apos; ElementTree.tostring (also in Element.write),"type-bug,expert-XML", ,https://api.github.com/repos/python/cpython/issues/72086, 
72077,closed,platform.release() incorrect in Python 3.5.2 on Windows 2008ServerR2,"type-bug,OS-windows,stdlib", ,https://api.github.com/repos/python/cpython/issues/72077, 
72076,closed,ctypes interfers with signal handling,"type-bug,expert-ctypes", ,https://api.github.com/repos/python/cpython/issues/72076, 
72075,closed,Hide pip install/uninstall windows in setup,"type-bug,OS-windows", ,https://api.github.com/repos/python/cpython/issues/72075, 
72074,closed,Installation failed,"type-bug,OS-mac", ,https://api.github.com/repos/python/cpython/issues/72074, 
72073,closed,Docs: the difference between Path.rename() and Path.replace() is not obvious,"type-bug,docs,easy,3.10,3.9", ,https://api.github.com/repos/python/cpython/issues/72073, 
72068,closed,Fix possible bugs when setting sqlite3.Connection.isolation_level,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72068, 
72067,closed,cPickle fails on large objects (still - 2011 and counting),"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72067, 
72065,closed,Unicode word boundries,"type-bug,expert-regex", ,https://api.github.com/repos/python/cpython/issues/72065, 
72062,closed,Syslogs /usr/sbin/foo as /foo instead of as foo,"type-bug,extension-modules,3.9", ,https://api.github.com/repos/python/cpython/issues/72062, 
72061,closed,inconsistent sys.path behavior when using PythonXX.zip,"type-bug,OS-windows", ,https://api.github.com/repos/python/cpython/issues/72061, 
72050,closed,multiple issues in _elementtree module,"type-bug,extension-modules", ,https://api.github.com/repos/python/cpython/issues/72050, 
72042,closed,2to3: Wrong code output w/ has_key without trailing space,"type-bug,expert-2to3", ,https://api.github.com/repos/python/cpython/issues/72042, 
72041,closed,Installed 2.7: IDLE Help disabled because help.html is missing,"type-bug,OS-windows,expert-IDLE,release-blocker,expert-installation", ,https://api.github.com/repos/python/cpython/issues/72041, 
72038,closed,re.sub() bug with IGNORECASE,"type-bug,expert-regex", ,https://api.github.com/repos/python/cpython/issues/72038, 
72037,closed,Remove 3DES from cipher list (sweet32 CVE-2016-2183),"type-security,stdlib,release-blocker,expert-SSL",security,https://api.github.com/repos/python/cpython/issues/72037, 
72025,closed,"test_os.test_chown() failure on koobs-freebsd-{current,9}","type-bug,tests,3.7", ,https://api.github.com/repos/python/cpython/issues/72025, 
72023,closed,VCRUNTIME140.DLL not found,"type-bug,OS-windows,expert-installation", ,https://api.github.com/repos/python/cpython/issues/72023, 
72022,closed,SystemExit in setUpClass etc. terminates test run,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72022, 
72021,closed,test_datetime fails on "x86 Gentoo Non-Debug with X 3.x" buildbot,"type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/72021, 
72020,closed,Process is locked when try to execute Queue.put() inside,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72020, 
72018,closed,Python 3.4.5 leaks memory when attempting to load non-existent file,"type-bug,interpreter-core",memory leak,https://api.github.com/repos/python/cpython/issues/72018, 
72015,closed,Regression in http.cookies parsing with single key without value,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/72015, 
72014,closed,pathlib is_reserved fails for some reserved paths on Windows,"type-bug,OS-windows,stdlib,3.11,3.10,3.9", ,https://api.github.com/repos/python/cpython/issues/72014, 
72009,closed,Fail to create _SelectorTransport with unbound socket,"type-bug,expert-asyncio,3.9", ,https://api.github.com/repos/python/cpython/issues/72009, 
72008,closed,"IDLE custom keymaps don't work anymore (Windows, Python 3.6.0a3)","type-bug,expert-IDLE", ,https://api.github.com/repos/python/cpython/issues/72008, 
72007,closed,Possible bug in smtplib when initial_response_ok=False,"type-bug,tests,stdlib,3.10,3.9,3.8,expert-email", ,https://api.github.com/repos/python/cpython/issues/72007, 
72004,closed,tkinter string variable misinterpreted as boolean,"type-bug,expert-tkinter", ,https://api.github.com/repos/python/cpython/issues/72004, 
72000,closed,When I assign for a item which list of single item,"type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/72000, 
71994,closed,Prevent site-packages .pth files from causing test_site failure: test_site.test_startup_imports() failure,"type-bug,tests,3.9,3.8,3.7", ,https://api.github.com/repos/python/cpython/issues/71994, 
71992,closed,"io.open('/dev/stdout', 'a') raises OSError with errno=ESPIPE","type-bug,3.8,3.7,expert-IO", ,https://api.github.com/repos/python/cpython/issues/71992, 
71988,closed,test_update_lines_cols from test.test_curses.MiscTests fails on Ubuntu 14.04 LTS,"type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/71988, 
71987,closed,Regular expressions with multiple repeat codes,"type-bug,expert-regex,3.7", ,https://api.github.com/repos/python/cpython/issues/71987, 
71985,closed,test_sysconfig: test_srcdir() fails on "x86 Gentoo Installed with X 3.x" buildbot,"type-bug,tests,stdlib", ,https://api.github.com/repos/python/cpython/issues/71985, 
71984,closed,ASCII file with UNIX line conventions and enough lines throws SyntaxError when ASCII-compatible codec is declared,"type-bug,OS-windows,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/71984, 
71980,closed,Double underscore variables in module are mangled when used in class,type-bug, ,https://api.github.com/repos/python/cpython/issues/71980, 
71979,closed,bool % int has inconsistent return type.,type-bug, ,https://api.github.com/repos/python/cpython/issues/71979, 
71977,closed,test_distutils spews linker messages on Windows,"type-bug,tests,OS-windows,stdlib,3.7", ,https://api.github.com/repos/python/cpython/issues/71977, 
71976,closed,test_asyncio Resource Warnings,"type-bug,tests,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/71976, 
71972,closed,Module platform: Versions of Windows,"type-bug,OS-windows,stdlib", ,https://api.github.com/repos/python/cpython/issues/71972, 
71971,closed,Random failure of test_TCPServer() of test.test_socketserver.SocketServerTest and test_handle_accept() of test.test_asyncore.TestAPI_UseIPv6Select on FreeBSD buildbots,"type-bug,tests", ,https://api.github.com/repos/python/cpython/issues/71971, 
71969,closed,"Multi-phase extension module initialization, inconsistent exceptions and conflicts between code and PEP","type-bug,interpreter-core", ,https://api.github.com/repos/python/cpython/issues/71969, 
71968,closed,Change sys.getfilesystemencoding() on Windows to UTF-8,"type-bug,OS-windows,release-blocker,3.7",hang,https://api.github.com/repos/python/cpython/issues/71968, 
71964,closed,cgi.FieldStorage can't parse simple body with Content-Length and no Content-Disposition,"type-bug,stdlib,3.11,3.10,3.9", ,https://api.github.com/repos/python/cpython/issues/71964, 
71963,closed,PEP 524: Make os.urandom() blocking on Linux,type-security,security,https://api.github.com/repos/python/cpython/issues/71963, 
71962,closed,`shlex.split(None)` causes infinite loop,"type-bug,stdlib",infinite loop,https://api.github.com/repos/python/cpython/issues/71962, 
71961,closed,Py_DECREF on a non-owned object in _sre,type-security,security,https://api.github.com/repos/python/cpython/issues/71961, 
71954,closed,Receive "A required privilege is not held by the Client" error message when Installing python on Windows 10 64 bit,"type-security,OS-windows,expert-installation",security,https://api.github.com/repos/python/cpython/issues/71954, 
71953,closed,Add ChaCha20 Poly1305 to SSL ciphers,"type-security,stdlib,expert-SSL",security,https://api.github.com/repos/python/cpython/issues/71953, 
71949,closed,ConfigParser ignores in-line comments for lines with semi-colons,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/71949, 
71947,closed,integer overflow in binascii.b2a_qp,"type-security,stdlib",integer overflow,https://api.github.com/repos/python/cpython/issues/71947, 
71945,closed,integer overflow in the _csv module's join_append_data function,"type-security,stdlib",integer overflow,https://api.github.com/repos/python/cpython/issues/71945, 
71940,closed,py_compile.compile() does not specify if it can accept a file like object or a bytes like object with the file's data.,"type-bug,docs,stdlib", ,https://api.github.com/repos/python/cpython/issues/71940, 
71939,closed,"[doc] CSV DictReader default dialect name 'excel' is misleading, as MS Excel doesn't actually use ',' as a separator.","type-bug,docs,stdlib,3.11", ,https://api.github.com/repos/python/cpython/issues/71939, 
71935,closed,Simplify test_winsound,"type-bug,tests,OS-windows", ,https://api.github.com/repos/python/cpython/issues/71935, 
71934,closed,Broken example in the queue module documentation,"type-bug,docs", ,https://api.github.com/repos/python/cpython/issues/71934, 
71933,closed,ResourceWarnings in test_asyncio,"type-bug,tests,expert-asyncio", ,https://api.github.com/repos/python/cpython/issues/71933, 
71932,closed,Fix typos in Argument Clinic howto,"type-bug,docs,expert-argument-clinic", ,https://api.github.com/repos/python/cpython/issues/71932, 
71930,closed,Python 2 has a wrong artificial limit on the amount of memory that can be allocated in ctypes,"type-bug,OS-windows,expert-ctypes", ,https://api.github.com/repos/python/cpython/issues/71930, 
71929,closed,Random.randint generates different values in Python2 and Python3,"type-bug,stdlib,extension-modules", ,https://api.github.com/repos/python/cpython/issues/71929, 
71928,closed,datetime.datetime.strptime functionality description incorrect,"type-bug,docs", ,https://api.github.com/repos/python/cpython/issues/71928, 
